id_distribuidor,folio,saldo_vencido_total,pagos_vencidos,creditos_totales,creditos_con_claves_prevencion,creditos_completados_con_atraso,creditos_completados_sin_atraso
100990,1063538289,0.0,10.0,20,11,0,20
100992,1063538102,2275.0,8.0,70,26,1,69
101003,1063538370,37938.0,127.0,44,21,4,40
101006,1063537945,0.0,6.0,16,1,0,16
101007,1063537944,1485.0,7.0,7,0,2,5
101012,1063537938,0.0,4.0,4,0,0,4
101014,1063537935,24868.0,148.0,57,21,4,53
101037,1063538053,40850.0,103.0,63,50,4,59
101041,1063538044,10059.0,23.0,4,1,2,2
101045,1063537932,58786.0,117.0,44,14,6,38
101050,1063538365,48277.0,159.0,92,73,9,83
101062,1063537930,0.0,0.0,1,0,0,1
101063,1063538341,40866.0,129.0,96,77,9,87
101065,1063538333,39144.0,107.0,68,58,6,62
101066,1063539024,6805.0,15.0,84,36,1,83
101070,1063539013,194080.0,73.0,46,23,8,38
101071,1063539007,7597.0,30.0,38,27,2,36
101080,1063538035,0.0,99.0,9,3,0,9
101083,1063538894,68704.0,97.0,45,35,6,39
101084,1063538881,16423.0,31.0,19,11,2,17
101088,1063538234,0.0,7.0,7,4,0,7
101090,1063538227,5159.0,257.0,22,5,7,15
101091,1063538653,54900.0,137.0,61,45,8,53
101092,1063538860,38222.0,113.0,7,2,2,5
101094,1063538854,73145.0,294.0,258,27,7,251
101096,1063538845,18504.0,126.0,62,9,18,44
101133,1063539094,62597.0,137.0,73,47,3,70
101142,1063539096,37481.0,155.0,24,15,5,19
101143,1063538117,0.0,0.0,3,2,0,3
101149,1063538272,38822.0,85.0,66,45,5,61
101151,1063538285,97205.0,135.0,154,112,3,151
101164,1063538179,6515.0,25.0,4,1,2,2
101181,1063538178,4382.0,38.0,8,4,2,6
101182,1063538176,34476.0,46.0,29,3,3,26
101204,1063539664,95448.0,103.0,131,77,7,124
101208,1063538484,67250.0,106.0,52,32,7,45
101209,1063538327,25216.0,87.0,80,60,6,74
101211,1063538480,61510.0,159.0,30,18,9,21
101212,1063538476,62019.0,250.0,34,20,5,29
101214,1063538960,82075.0,18.0,29,9,2,27
101215,1063538463,77593.0,58.0,26,9,3,23
101216,1063539269,36883.0,63.0,52,40,5,47
101219,1063538461,33575.0,123.0,37,22,4,33
101220,1063538948,56693.0,50.0,17,13,4,13
101228,1063539267,15954.0,23.0,7,3,2,5
101250,1063538843,56244.0,62.0,21,11,2,19
101265,1063538577,6534.0,52.0,21,15,4,17
101269,1063538322,11090.0,43.0,14,5,3,11
101270,1063539263,388.0,10.0,2,1,1,1
101273,1063538309,13690.0,23.0,35,26,2,33
101286,1063538572,43914.0,231.0,40,17,4,36
101289,1063538567,36055.0,338.0,43,27,6,37
101291,1063538566,25874.0,154.0,22,10,3,19
101292,1063538664,40699.0,102.0,60,42,3,57
101293,1063538560,28957.0,91.0,16,5,5,11
101294,1063538558,0.0,0.0,4,2,0,4
101298,1063538273,112217.0,178.0,57,33,7,50
101301,1063538280,23311.0,75.0,27,23,1,26
101304,1063538448,88815.0,188.0,51,33,5,46
101307,1063539710,4694.0,70.0,32,26,2,30
101308,1063538799,58807.0,93.0,57,29,4,53
101314,1063538792,44650.0,134.0,91,11,9,82
101315,1063538753,81517.0,57.0,28,21,5,23
101320,1063538790,6150.0,66.0,27,8,1,26
101329,1063538114,6984.0,45.0,18,12,3,15
101336,1063538999,18078.0,30.0,6,3,4,2
101349,1063547770,37333.0,44.0,27,17,3,24
101350,1063538788,508257.0,424.0,69,32,13,56
101355,1063538836,52415.0,111.0,35,21,5,30
101357,1063538833,26011.0,30.0,8,3,1,7
101358,1063538822,57289.0,72.0,30,16,5,25
101360,1063538818,26011.0,19.0,11,3,1,10
101373,1063538104,49084.0,192.0,42,25,5,37
101374,1063538749,28532.0,28.0,6,2,3,3
101376,1063539654,87155.0,96.0,35,22,4,31
101379,1063538785,14809.0,50.0,79,13,11,68
101389,1063538748,7080.0,70.0,20,18,2,18
101401,1063538782,6150.0,11.0,27,11,1,26
101432,1063538213,70933.0,92.0,49,15,4,45
101442,1063538740,0.0,0.0,5,2,0,5
101445,1063538220,528.0,71.0,13,1,2,11
101446,1063538442,11551.0,16.0,35,22,2,33
101448,1063538435,1750.0,226.0,67,33,1,66
101449,1063538427,240.0,11.0,29,21,1,28
101450,1063538419,36264.0,51.0,77,27,5,72
101453,1063538414,0.0,0.0,1,0,0,1
101456,1063538410,13608.0,119.0,14,3,9,5
101503,1063538988,2459.0,90.0,37,7,1,36
101522,1063539087,42730.0,21.0,41,24,2,39
101523,1063539079,69831.0,119.0,93,52,10,83
101537,1063538732,9399.0,74.0,10,8,1,9
101539,1063538722,7532.0,60.0,13,9,3,10
101619,1063538776,70710.0,153.0,55,18,9,46
101620,1063539061,57998.0,134.0,16,7,5,11
101624,1063539058,931.0,71.0,7,5,1,6
101630,1063538711,145949.0,17.0,9,3,3,6
101642,1063538773,40219.0,37.0,59,37,2,57
101656,1063539045,69876.0,93.0,7,5,3,4
101657,1063538769,18835.0,17.0,13,6,3,10
101665,1063538762,121906.0,109.0,37,19,5,32
101668,1063538756,6150.0,11.0,17,11,1,16
101670,1063539360,33166.0,47.0,35,30,3,32
101674,1063538910,55728.0,126.0,44,13,3,41
101683,1063538932,11771.0,200.0,13,7,6,7
101690,1063539106,24040.0,49.0,26,16,4,22
101696,1063538497,0.0,12.0,36,14,0,36
101697,1063538645,6608.0,8.0,20,12,3,17
101698,1063538908,53759.0,131.0,26,18,4,22
101701,1063538644,2589.0,83.0,26,5,3,23
101703,1063538631,2398.0,12.0,37,8,1,36
101708,1063538625,223974.0,276.0,69,35,6,63
101711,1063538606,18402.0,57.0,41,26,5,36
101725,1063539190,108629.0,194.0,39,16,11,28
101727,1063538897,84105.0,118.0,59,22,10,49
101734,1063538876,87748.0,289.0,32,9,22,10
101741,1063538553,4024.0,44.0,90,48,1,89
101742,1063538542,27406.0,54.0,27,16,4,23
101747,1063539738,39557.0,47.0,65,25,4,61
101755,1063538281,25064.0,222.0,33,24,6,27
101759,1063538857,110626.0,36.0,45,32,3,42
101820,1063539358,12128.0,126.0,14,7,7,7
101875,1063539225,31480.0,99.0,969,11,7,962
101885,1063539249,24642.0,127.0,42,29,3,39
101887,1063539243,12167.0,116.0,30,11,6,24
101888,1063539241,0.0,24.0,7,1,0,7
101889,1063539236,9796.0,37.0,39,29,2,37
101890,1063539232,72989.0,179.0,22,7,16,6
101894,1063539623,17901.0,83.0,43,22,3,40
101902,1063539629,128028.0,211.0,60,33,7,53
101904,1063539645,44451.0,47.0,53,29,3,50
101913,1063539635,120001.0,247.0,59,9,6,53
101944,1063538848,125434.0,46.0,42,27,4,38
101960,1063538844,273.0,4.0,20,9,1,19
101961,1063538839,1441.0,15.0,31,23,2,29
101979,1063539349,29464.0,181.0,18,7,13,5
102004,1063539104,7349.0,8.0,56,22,3,53
102062,1063539108,17829.0,25.0,43,13,3,40
102068,1063538608,0.0,1.0,14,8,0,14
102079,1063539792,12422.0,9.0,32,18,2,30
102081,1063539345,68417.0,110.0,16,4,7,9
102086,1063539789,3456.0,56.0,29,1,7,22
102087,1063547155,41558.0,132.0,37,18,11,26
102090,1063538918,16387.0,520.0,43,12,8,35
102093,1063539092,60540.0,94.0,69,38,4,65
102095,1063539076,77713.0,163.0,81,44,6,75
102131,1063539219,12283.0,8.0,3,2,2,1
102145,1063539128,31729.0,154.0,39,14,8,31
102149,1063539141,29982.0,21.0,65,36,2,63
102150,1063539511,169.0,5.0,31,19,1,30
102151,1063539503,82422.0,172.0,120,94,10,110
102153,1063539489,23837.0,8.0,57,37,2,55
102158,1063539485,5940.0,26.0,117,83,1,116
102199,1063539167,48799.0,97.0,32,18,5,27
102211,1063538810,227330.0,250.0,65,31,12,53
102212,1063538986,3800.0,12.0,42,13,1,41
102216,1063539175,39138.0,23.0,23,20,4,19
102242,1063539341,0.0,5.0,8,2,0,8
102250,1063539195,90760.0,87.0,68,45,7,61
102254,1063539125,59914.0,58.0,84,23,6,78
102264,1063539300,0.0,0.0,2,0,0,2
102267,1063539298,0.0,15.0,13,3,0,13
102268,1063539297,215162.0,99.0,13,3,4,9
102272,1063539291,8818.0,30.0,16,7,6,10
102293,1063538805,67899.0,102.0,47,30,5,42
102295,1063539145,4452.0,5.0,9,5,1,8
102296,1063539149,8279.0,20.0,61,11,1,60
102309,1063539155,0.0,3.0,47,26,0,47
102351,1063539035,418.0,6.0,25,18,1,24
102352,1063539215,21821.0,19.0,5,2,2,3
102355,1063539206,6687.0,64.0,8,1,2,6
102357,1063539284,43043.0,266.0,17,8,4,13
102358,1063539030,12544.0,16.0,5,2,1,4
102360,1063538991,42445.0,100.0,24,17,4,20
102365,1063539260,46794.0,52.0,45,28,4,41
102370,1063539326,25626.0,45.0,7,3,6,1
102374,1063539254,13134.0,44.0,40,18,3,37
102378,1063539316,11787.0,40.0,20,17,3,17
102382,1063539309,71737.0,147.0,20,8,11,9
102414,1063539734,11007.0,67.0,18,6,1,17
