id_distribuidor,id_red,id_operacion,tipo_prestamo,perdida_cosecha
100282,111434,111439,prestamo_personal_red,0.0
100282,122394,122398,prestamo_personal_red,0.0
100282,132888,132891,prestamo_personal_red,0.0
100282,153859,153862,prestamo_personal_red,0.0
100287,100346,100350,prestamo_personal_red,0.0
100289,100346,100351,prestamo_personal_red,0.0
100290,100346,100348,prestamo_personal_red,0.0
100290,111482,111484,prestamo_personal_red,0.0
100292,100346,100347,prestamo_personal_red,0.0
100292,111482,111483,prestamo_personal_red,0.0
100297,110574,110580,prestamo_personal_red,0.0
100297,118760,118763,prestamo_personal_red,0.0
100297,100297,125045,linea,0.278938
100297,100297,125049,linea,0.278938
100297,129615,129618,prestamo_personal_red,0.0
100297,100297,135672,linea,0.278938
100297,137792,137795,prestamo_personal_red,0.6717680562683332
100301,110574,110581,prestamo_personal_red,0.0
100301,118760,118764,prestamo_personal_red,0.0
100301,100301,127550,linea,0.2848517948717949
100301,100301,127555,linea,0.2848517948717949
100301,100301,127558,linea,0.2848517948717949
100301,129615,129619,prestamo_personal_red,0.0
100301,100301,136769,linea,0.2848517948717949
100301,100301,136798,linea,0.2848517948717949
100301,137792,137796,prestamo_personal_red,0.6717680562683332
100301,100301,138872,linea,0.2848517948717949
100308,100308,107474,linea,0.547036923076923
100308,110574,110579,prestamo_personal_red,0.0
100308,100308,113842,linea,0.191446
100308,118760,118762,prestamo_personal_red,0.0
100308,100308,119413,linea,0.1775788461538461
100308,100308,124801,linea,0.1775788461538461
100308,100308,126819,linea,0.1775788461538461
100308,129615,129617,prestamo_personal_red,0.0
100308,100308,133572,linea,0.1775788461538461
100308,100308,134152,linea,0.1775788461538461
100308,137792,137794,prestamo_personal_red,0.6717680562683332
100308,100308,139819,linea,0.1775788461538461
100309,100847,100857,prestamo_personal_red,0.0
100330,102313,102314,prestamo_personal_red,0.0
100337,102313,102315,prestamo_personal_red,0.0
100339,100937,100948,prestamo_personal_red,0.6461311111111111
100342,102313,102317,prestamo_personal_red,0.0
100394,100489,100498,prestamo_personal_red,0.0
100394,110496,110504,prestamo_personal_red,0.0
100394,120787,120795,prestamo_personal_red,0.0
100394,133191,133199,prestamo_personal_red,0.0
