id_distribuidor,estado,sucursal,escolaridad,estado_civil,tipo_vivienda,sexo,experiencia,dependientes,tiempo_vivienda,ingreso_neto,tipo_negocio,tiempo_op_negocio,edad
116,mexico,chimalhuacan_2,bachillerato,divorciada,propia,femenino,no,-0.7812465152139179,0.6635626984006062,-0.07421300759769212,0.6635626984006062,-1.0156441679740578,0.9290084123629552
455,mexico,chimalhuacan_2,secundaria,casada,propia,femenino,no,0.14467528059516999,-0.8403275796321448,-0.05996261859821995,-0.8403275796321448,-1.0156441679740578,0.4564084529614551
300,mexico,chimalhuacan_2,secundaria,casada,familiar,femenino,no,0.14467528059516999,-0.33903082028789444,0.015089430132333442,-0.33903082028789444,-0.11722991793260336,-0.17372482624054503
576,mexico,chimalhuacan_2,primaria,casada,propia,femenino,no,0.14467528059516999,-0.8403275796321448,-0.03146184059927562,-0.8403275796321448,-1.0156441679740578,0.6139417727619552
480,jalisco,tonala,tecnico,casada,familiar,femenino,no,-0.7812465152139179,-0.8403275796321448,0.020789585732122307,-0.8403275796321448,1.2303914571295782,0.2988751331609551
797,mexico,chimalhuacan_2,secundaria,union_libre,propia,femenino,no,-0.7812465152139179,-0.33903082028789444,-0.01721145159980346,-0.33903082028789444,-1.0156441679740578,1.2440750519639552
1185,mexico,chalco,bachillerato,union_libre,propia,femenino,no,-0.7812465152139179,-0.33903082028789444,-0.002961062600331297,-0.33903082028789444,-1.0156441679740578,-0.41002480594129503
1921,veracruz_de_ignacio_de_la_llave,orizaba,bachillerato,soltera,familiar,femenino,no,-0.7812465152139179,-1.341624338976395,-0.0741655063010272,-1.341624338976395,1.6795985821503052,1.0077750722632053
2174,mexico,chimalhuacan_2,secundaria,casada,familiar,femenino,no,1.0705970764042578,-0.33903082028789444,-0.07403725280003196,-0.33903082028789444,1.6795985821503052,0.3776417930612051
2318,veracruz_de_ignacio_de_la_llave,orizaba,secundaria,casada,propia,femenino,si,-0.7812465152139179,3.170046495121858,-0.02196158126629418,3.170046495121858,-1.0156441679740578,0.9290084123629552
2564,mexico,nezahualcoyotl_2,bachillerato,casada,propia,femenino,no,-0.7812465152139179,-0.33903082028789444,0.09679166039597384,-0.33903082028789444,0.3319772070881238,1.4016083717644552
2420,jalisco,tonala,bachillerato,casada,rentada,femenino,si,5.700206055449697,-0.33903082028789444,-0.01721145159980346,-0.33903082028789444,2.1288057071710327,-0.33125814604104503
2594,mexico,chimalhuacan_2,licenciatura,soltera,propia,femenino,no,-0.7812465152139179,-0.33903082028789444,-0.07403250267036546,-0.33903082028789444,-1.4648512929947848,-0.41002480594129503
2737,mexico,chimalhuacan_2,bachillerato,soltera,familiar,masculino,si,-0.7812465152139179,0.1622659390563559,-0.07396600085503459,0.1622659390563559,2.1288057071710327,-0.25249148614079503
2722,mexico,nezahualcoyotl_2,tecnico,casada,familiar,femenino,no,1.0705970764042578,-0.8403275796321448,-0.0741655063010272,-0.8403275796321448,-0.11722991793260336,0.22010847326070507
2759,mexico,chimalhuacan_2,primaria,union_libre,propia,femenino,si,-0.7812465152139179,-0.8403275796321448,-0.07397550111436757,-0.8403275796321448,-0.5664370429533305,0.6927084326622052
2945,mexico,chimalhuacan_2,secundaria,union_libre,propia,femenino,si,-0.7812465152139179,-0.8403275796321448,-0.07387099826170478,-0.8403275796321448,-1.0156441679740578,1.4016083717644552
3086,tabasco,villahermosa,secundaria,casada,familiar,femenino,si,-0.7812465152139179,-1.341624338976395,-0.07421300759769212,-1.341624338976395,-0.5664370429533305,1.1653083920637053
2712,jalisco,tonala,bachillerato,casada,propia,femenino,no,-0.7812465152139179,-0.33903082028789444,0.007489222665948289,-0.33903082028789444,-1.0156441679740578,0.9290084123629552
3444,tabasco,villahermosa,bachillerato,casada,familiar,femenino,no,0.14467528059516999,-1.341624338976395,-0.07421300759769212,-1.341624338976395,-0.11722991793260336,1.0077750722632053
2036,jalisco,tonala,bachillerato,casada,propia,femenino,no,-0.7812465152139179,0.1622659390563559,0.04454023406457591,0.1622659390563559,-1.0156441679740578,1.0077750722632053
3481,mexico,chimalhuacan_2,secundaria,casada,propia,femenino,si,-0.7812465152139179,-0.33903082028789444,0.05879062306404807,-0.33903082028789444,-1.0156441679740578,1.8742083311659554
3185,tabasco,villahermosa,primaria,casada,familiar,femenino,no,-0.7812465152139179,-1.341624338976395,-0.07421300759769212,-1.341624338976395,-1.4648512929947848,0.8502417524627052
3690,veracruz_de_ignacio_de_la_llave,orizaba,bachillerato,union_libre,familiar,masculino,si,8.47797144287696,0.1622659390563559,0.0017890670661594242,0.1622659390563559,-1.0156441679740578,-0.17372482624054503
3991,mexico,nezahualcoyotl_2,sin_estudios,casada,familiar,femenino,no,5.700206055449697,-1.341624338976395,-0.03241186653257377,-1.341624338976395,-1.0156441679740578,-0.4887914658415451
4054,tabasco,villahermosa,bachillerato,casada,familiar,femenino,no,-0.7812465152139179,-1.341624338976395,-0.07421300759769212,-1.341624338976395,-1.4648512929947848,0.3776417930612051
4135,mexico,chimalhuacan_2,secundaria,casada,propia,masculino,si,7.552049647067872,-0.33903082028789444,-0.07392799981770266,-0.33903082028789444,-0.5664370429533305,-0.5675581257417951
4064,veracruz_de_ignacio_de_la_llave,orizaba,licenciatura,casada,familiar,masculino,si,5.700206055449697,-0.8403275796321448,-0.0267117109327849,-0.8403275796321448,-0.5664370429533305,0.2988751331609551
4466,mexico,texcoco,secundaria,casada,familiar,masculino,si,-0.7812465152139179,-0.8403275796321448,-0.07392799981770266,-0.8403275796321448,-1.0156441679740578,-0.094958166340295
